first_name,middle_name,last_name,state,district,party,next_election,id,api_uri,domain,url,facebook_account,facebook_id,twitter_account,google_entity_id,rss_url,total_votes,missed_votes,missed_votes_pct,total_present,votes_with_party_pct,dw_nominate,seniority,ideal_point
Richard,null,Hudson,NC,8,R,2018,H001067,https://api.propublica.org/congress/v1/members/H001067.json,hudson.house.gov,https://hudson.house.gov,RepRichHudson,212153802255530,RepRichHudson,/m/0nbwfxs,https://hudson.house.gov/rss/press-releases.xml,85,2,2.35,0,96.39,null,6,null
Jared,null,Huffman,CA,2,D,2018,H001068,https://api.propublica.org/congress/v1/members/H001068.json,huffman.house.gov,http://huffman.house.gov,RepHuffman,200227780116038,RepHuffman,/m/0ksfyx,http://huffman.house.gov/rss.xml,85,3,3.53,0,91.46,null,6,null
Jody,null,Hice,GA,10,R,2018,H001071,https://api.propublica.org/congress/v1/members/H001071.json,hice.house.gov,https://hice.house.gov,CongressmanJodyHice,null,congressmanhice,/m/0640dpx,null,85,0,0.00,0,97.65,null,4,null
French,null,Hill,AR,2,R,2018,H001072,https://api.propublica.org/congress/v1/members/H001072.json,null,https://hill.house.gov,RepFrenchHill,null,RepFrenchHill,/m/0127p1zk,https://hill.house.gov/rss.xml,85,0,0.00,0,96.47,null,4,null
Will,null,Hurd,TX,23,R,2018,H001073,https://api.propublica.org/congress/v1/members/H001073.json,null,https://hurd.house.gov,HurdOnTheHill,null,hurdonthehill,/m/0127jwdk,https://hurd.house.gov/rss.xml,85,0,0.00,0,96.47,null,4,null
Trey,null,Hollingsworth,IN,9,R,2018,H001074,https://api.propublica.org/congress/v1/members/H001074.json,hollingsworth.house.gov,https://hollingsworth.house.gov,reptrey,null,reptrey,/g/11cnt8qr9t,null,85,0,0.00,0,97.65,null,2,null
Clay,null,Higgins,LA,3,R,2018,H001077,https://api.propublica.org/congress/v1/members/H001077.json,clayhiggins.house.gov,https://clayhiggins.house.gov,null,null,null,/g/11c1s3lp76,https://clayhiggins.house.gov/rss.xml,85,0,0.00,0,97.65,null,2,null
Darrell,null,Issa,CA,49,R,2018,I000056,https://api.propublica.org/congress/v1/members/I000056.json,issa.house.gov,https://issa.house.gov,darrellissa,19463427992,DarrellIssa,/m/01r7wc,null,85,1,1.18,0,97.62,null,18,null
Sheila,null,Jackson-Lee,TX,18,D,2018,J000032,https://api.propublica.org/congress/v1/members/J000032.json,jacksonlee.house.gov,http://jacksonlee.house.gov,169479190984,169479190984,JacksonLeeTX18,/m/02fj6h,http://jacksonlee.house.gov/rss.xml,85,10,11.76,0,96.00,null,24,null
Eddie,Bernice,Johnson,TX,30,D,2018,J000126,https://api.propublica.org/congress/v1/members/J000126.json,ebjohnson.house.gov,http://ebjohnson.house.gov,CongresswomanEBJtx30,84096022067,RepEBJ,/m/03tn1w,http://ebjohnson.house.gov/rss.xml,85,9,10.59,0,93.42,null,26,null
Sam,null,Johnson,TX,3,R,2018,J000174,https://api.propublica.org/congress/v1/members/J000174.json,samjohnson.house.gov,http://samjohnson.house.gov,RepSamJohnson,52454091867,SamsPressShop,/m/02_21s,http://samjohnson.house.gov/news/rss.aspx,85,0,0.00,0,97.65,null,28,null
Walter,B.,Jones,NC,3,R,2018,J000255,https://api.propublica.org/congress/v1/members/J000255.json,jones.house.gov,http://jones.house.gov,15083070102,15083070102,RepWalterJones,/m/03g_r5,http://jones.house.gov/rss.xml,85,18,21.18,0,61.19,null,24,null
Hank,null,Johnson,GA,4,D,2018,J000288,https://api.propublica.org/congress/v1/members/J000288.json,hankjohnson.house.gov,https://hankjohnson.house.gov,115356957005,115356957005,RepHankJohnson,/m/0flgyy,https://hankjohnson.house.gov/rss.xml,85,13,15.29,0,93.06,null,12,null
Jim,null,Jordan,OH,4,R,2018,J000289,https://api.propublica.org/congress/v1/members/J000289.json,jordan.house.gov,http://jordan.house.gov,repjimjordan,35499336459,Jim_Jordan,/m/04l4x5,http://jordan.house.gov/news/rss.aspx,85,0,0.00,0,94.12,null,12,null
Lynn,null,Jenkins,KS,2,R,2018,J000290,https://api.propublica.org/congress/v1/members/J000290.json,lynnjenkins.house.gov,https://lynnjenkins.house.gov,replynnjenkins,6974973662,RepLynnJenkins,/m/02qdzmy,https://lynnjenkins.house.gov/common/rss/?rss=220,85,12,14.12,0,95.89,null,10,null
Bill,null,Johnson,OH,6,R,2018,J000292,https://api.propublica.org/congress/v1/members/J000292.json,billjohnson.house.gov,http://billjohnson.house.gov,RepBillJohnson,170477096312258,RepBillJohnson,/m/03g_vd8,http://billjohnson.house.gov/news/rss.aspx,85,0,0.00,0,96.47,null,8,null
Hakeem,null,Jeffries,NY,8,D,2018,J000294,https://api.propublica.org/congress/v1/members/J000294.json,jeffries.house.gov,http://jeffries.house.gov,RepHakeemJeffries,118349138343701,RepJeffries,/m/025_74m,http://jeffries.house.gov/rss.xml,85,2,2.35,0,96.39,null,6,null
Dave,null,Joyce,OH,14,R,2018,J000295,https://api.propublica.org/congress/v1/members/J000295.json,joyce.house.gov,https://joyce.house.gov,RepDaveJoyce,404318572981934,RepDaveJoyce,/m/0ktwnp_,https://joyce.house.gov/rss/press-releases.xml,85,1,1.18,0,96.43,null,6,null
Evan,null,Jenkins,WV,3,R,2018,J000297,https://api.propublica.org/congress/v1/members/J000297.json,null,https://evanjenkins.house.gov,RepEvanJenkins,null,RepEvanJenkins,/m/0d4_hq,https://evanjenkins.house.gov/rss.xml,85,0,0.00,0,94.12,null,4,null
Pramila,null,Jayapal,WA,7,D,2018,J000298,https://api.propublica.org/congress/v1/members/J000298.json,jayapal.house.gov,https://jayapal.house.gov,RepJayapal,null,RepJayapal,/m/0c3dxcq,https://jayapal.house.gov/rss.xml,85,0,0.00,0,94.12,null,2,null
Mike,null,Johnson,LA,4,R,2018,J000299,https://api.propublica.org/congress/v1/members/J000299.json,mikejohnson.house.gov,https://mikejohnson.house.gov,null,null,null,null,null,85,2,2.35,0,97.59,null,2,null
Marcy,null,Kaptur,OH,9,D,2018,K000009,https://api.propublica.org/congress/v1/members/K000009.json,www.kaptur.house.gov,https://kaptur.house.gov,RepresentativeMarcyKaptur,173753129419169,RepMarcyKaptur,/m/039s3l,null,85,2,2.35,0,91.57,null,36,null
Ron,null,Kind,WI,3,D,2018,K000188,https://api.propublica.org/congress/v1/members/K000188.json,kind.house.gov,https://kind.house.gov,repronkind,89152017954,RepRonKind,/m/024ty6,null,85,0,0.00,0,91.76,null,22,null
Peter,T.,King,NY,2,R,2018,K000210,https://api.propublica.org/congress/v1/members/K000210.json,null,http://peteking.house.gov,null,null,RepPeteKing,/m/03tk4w,http://peteking.house.gov/rss.xml,85,0,0.00,0,96.47,null,26,null
Steve,null,King,IA,4,R,2018,K000362,https://api.propublica.org/congress/v1/members/K000362.json,null,https://steveking.house.gov,stevekingia,134325379926458,SteveKingIA,/m/025b7g,https://steveking.house.gov/rss.xml,85,1,1.18,0,97.62,null,16,null
Bill,null,Keating,MA,9,D,2018,K000375,https://api.propublica.org/congress/v1/members/K000375.json,keating.house.gov,https://keating.house.gov,Congressman.Keating,183092598372008,USRepKeating,/m/09v6g7c,null,85,1,1.18,0,95.24,null,8,null
Mike,null,Kelly,PA,3,R,2018,K000376,https://api.propublica.org/congress/v1/members/K000376.json,kelly.house.gov,http://kelly.house.gov,191056827594903,191056827594903,MikeKellyPA,/m/0ds6wcw,http://kelly.house.gov/rss.xml,85,0,0.00,0,97.65,null,8,null
Adam,null,Kinzinger,IL,16,R,2018,K000378,https://api.propublica.org/congress/v1/members/K000378.json,kinzinger.house.gov,http://kinzinger.house.gov,RepKinzinger,187811174579106,RepKinzinger,/m/05q9ypn,null,85,2,2.35,0,96.39,null,8,null
Joseph,P.,Kennedy III,MA,4,D,2018,K000379,https://api.propublica.org/congress/v1/members/K000379.json,kennedy.house.gov,https://kennedy.house.gov,301936109927957,301936109927957,RepJoeKennedy,/m/0j28kl9,http://kennedy.house.gov/rss.xml,85,0,0.00,0,96.47,null,6,null
Dan,null,Kildee,MI,5,D,2018,K000380,https://api.propublica.org/congress/v1/members/K000380.json,danielkildee.house.gov,http://dankildee.house.gov,RepDanKildee,484166588292670,RepDanKildee,/m/0n4c3yt,http://dankildee.house.gov/feed/,85,6,7.06,0,93.67,null,6,null
Derek,null,Kilmer,WA,6,D,2018,K000381,https://api.propublica.org/congress/v1/members/K000381.json,kilmer.house.gov,https://kilmer.house.gov,derek.kilmer,450819048314124,RepDerekKilmer,/m/03w9yd6,null,85,2,2.35,0,95.18,null,6,null
Ann,McLane,Kuster,NH,2,D,2018,K000382,https://api.propublica.org/congress/v1/members/K000382.json,kuster.house.gov,http://kuster.house.gov,CongresswomanAnnieKuster,115543081952049,RepAnnieKuster,/m/064p47_,http://kuster.house.gov/rss.xml,85,0,0.00,0,91.76,null,6,null
Robin,null,Kelly,IL,2,D,2018,K000385,https://api.propublica.org/congress/v1/members/K000385.json,null,https://robinkelly.house.gov,reprobinkelly,150380975141321,RepRobinKelly,/m/036qym,http://robinkelly.house.gov/rss.xml,85,9,10.59,0,96.05,null,6,null
John,null,Katko,NY,24,R,2018,K000386,https://api.propublica.org/congress/v1/members/K000386.json,null,https://katko.house.gov,RepJohnKatko,null,RepJohnKatko,/m/0127pf8s,https://katko.house.gov/rss.xml,85,0,0.00,0,92.94,null,4,null
Steve,null,Knight,CA,25,R,2018,K000387,https://api.propublica.org/congress/v1/members/K000387.json,knight.house.gov,https://knight.house.gov,RepresentativeSteveKnight,null,SteveKnight25,/m/05zjrvq,null,85,0,0.00,0,96.47,null,4,null
Trent,null,Kelly,MS,1,R,2018,K000388,https://api.propublica.org/congress/v1/members/K000388.json,null,https://trentkelly.house.gov,reptrentkelly,null,reptrentkelly,/m/013b9qgh,null,85,0,0.00,0,97.65,null,4,null
Ro,null,Khanna,CA,17,D,2018,K000389,https://api.propublica.org/congress/v1/members/K000389.json,khanna.house.gov,https://khanna.house.gov,RepRoKhanna,null,RepRoKhanna,/m/0q3z5xy,null,85,0,0.00,0,95.29,null,2,null
Ruben,null,Kihuen,NV,4,D,2018,K000390,https://api.propublica.org/congress/v1/members/K000390.json,kihuen.house.gov,https://kihuen.house.gov,RepKihuen,null,RepKihuen,/m/03hnv7g,https://kihuen.house.gov/rss.xml,85,1,1.18,0,94.05,null,2,null
Raja,null,Krishnamoorthi,IL,8,D,2018,K000391,https://api.propublica.org/congress/v1/members/K000391.json,krishnamoorthi.house.gov,https://krishnamoorthi.house.gov,congressmanraja,null,congressmanraja,/g/11c5m7lxtk,https://krishnamoorthi.house.gov/rss.xml,85,1,1.18,0,96.43,null,2,null
David,null,Kustoff,TN,8,R,2018,K000392,https://api.propublica.org/congress/v1/members/K000392.json,kustoff.house.gov,https://kustoff.house.gov,RepDavidKustoff,null,repdavidkustoff,/g/11c1qmm_nk,https://kustoff.house.gov/rss.xml,85,0,0.00,0,97.65,null,2,null
Sander,M.,Levin,MI,9,D,2018,L000263,https://api.propublica.org/congress/v1/members/L000263.json,levin.house.gov,http://levin.house.gov,RepSandyLevin,223726364320243,RepSandyLevin,/m/02n8p2,http://levin.house.gov/press-rss.xml,85,0,0.00,0,96.47,null,36,null
John,null,Lewis,GA,5,D,2018,L000287,https://api.propublica.org/congress/v1/members/L000287.json,johnlewis.house.gov,https://johnlewis.house.gov,RepJohnLewis,82737208404,RepJohnLewis,/m/0b419w,https://johnlewis.house.gov/rss.xml,85,3,3.53,0,93.90,null,32,null
Zoe,null,Lofgren,CA,19,D,2018,L000397,https://api.propublica.org/congress/v1/members/L000397.json,lofgren.house.gov,https://lofgren.house.gov,zoelofgren,221191600719,RepZoeLofgren,/m/024t94,https://lofgren.house.gov/news/rss.aspx,85,2,2.35,1,93.98,null,24,null
Nita,M.,Lowey,NY,17,D,2018,L000480,https://api.propublica.org/congress/v1/members/L000480.json,lowey.house.gov,https://lowey.house.gov,RepLowey,158290607551599,NitaLowey,/m/03tv8l,null,85,0,0.00,0,95.29,null,30,null
Frank,D.,Lucas,OK,3,R,2018,L000491,https://api.propublica.org/congress/v1/members/L000491.json,lucas.house.gov,http://lucas.house.gov,7872057395,7872057395,RepFrankLucas,/m/033tnk,http://lucas.house.gov/rss.xml,85,0,0.00,0,97.65,null,26,null
Barbara,null,Lee,CA,13,D,2018,L000551,https://api.propublica.org/congress/v1/members/L000551.json,lee.house.gov,https://lee.house.gov,RepBarbaraLee,92190287786,RepBarbaraLee,/m/024sjy,null,85,6,7.06,0,94.94,null,22,null
Frank,A.,LoBiondo,NJ,2,R,2018,L000554,https://api.propublica.org/congress/v1/members/L000554.json,lobiondo.house.gov,http://lobiondo.house.gov,FrankLoBiondo,null,RepLoBiondo,/m/025y0c,http://lobiondo.house.gov/rss.xml,85,0,0.00,0,91.76,null,24,null
John,B.,Larson,CT,1,D,2018,L000557,https://api.propublica.org/congress/v1/members/L000557.json,larson.house.gov,https://larson.house.gov,RepJohnLarson,6352928631,RepJohnLarson,/m/024zl9,null,85,1,1.18,0,95.24,null,20,null
Jim,null,Langevin,RI,2,D,2018,L000559,https://api.propublica.org/congress/v1/members/L000559.json,langevin.house.gov,http://langevin.house.gov,CongressmanJimLangevin,6578978441,JimLangevin,/m/02tvqy,http://langevin.house.gov/rss.xml,85,1,1.18,0,95.24,null,18,null
Rick,null,Larsen,WA,2,D,2018,L000560,https://api.propublica.org/congress/v1/members/L000560.json,larsen.house.gov,http://larsen.house.gov,RepRickLarsen,135654683137079,RepRickLarsen,/m/025953,http://larsen.house.gov/rss.xml,85,0,0.00,0,96.47,null,18,null
Stephen,F.,Lynch,MA,8,D,2018,L000562,https://api.propublica.org/congress/v1/members/L000562.json,lynch.house.gov,http://lynch.house.gov,repstephenlynch,133720816696865,RepStephenLynch,/m/028vsz,http://lynch.house.gov/rss.xml,85,4,4.71,0,93.83,null,18,null
Daniel,null,Lipinski,IL,3,D,2018,L000563,https://api.propublica.org/congress/v1/members/L000563.json,www.lipinski.house.gov,https://lipinski.house.gov,repdanlipinski,103286879730089,RepLipinski,/m/0508fv,https://lipinski.house.gov/rss/press-releases.xml,85,0,0.00,1,90.59,null,14,null
Doug,null,Lamborn,CO,5,R,2018,L000564,https://api.propublica.org/congress/v1/members/L000564.json,lamborn.house.gov,http://lamborn.house.gov,CongressmanDougLamborn,45059452286,RepDLamborn,/m/0fsgdd,null,85,5,5.88,0,97.50,null,12,null
Dave,null,Loebsack,IA,2,D,2018,L000565,https://api.propublica.org/congress/v1/members/L000565.json,loebsack.house.gov,http://loebsack.house.gov,DaveLoebsack,291731316748,DaveLoebsack,/m/0gtmqs,http://loebsack.house.gov/news/rss.aspx,85,1,1.18,0,92.86,null,12,null
Robert,E.,Latta,OH,5,R,2018,L000566,https://api.propublica.org/congress/v1/members/L000566.json,latta.house.gov,http://latta.house.gov,boblatta,100000004848334,BobLatta,/m/02z6_j1,http://latta.house.gov/news/rss.aspx,85,0,0.00,0,97.65,null,12,null
Leonard,null,Lance,NJ,7,R,2018,L000567,https://api.propublica.org/congress/v1/members/L000567.json,lance.house.gov,http://lance.house.gov,CongressmanLance,100830109970339,RepLanceNJ7,/m/077cs4,http://lance.house.gov/rss.xml,85,0,0.00,0,94.12,null,10,null
Blaine,null,Luetkemeyer,MO,3,R,2018,L000569,https://api.propublica.org/congress/v1/members/L000569.json,luetkemeyer.house.gov,http://luetkemeyer.house.gov,BlaineLuetkemeyer,1358702716,RepBlainePress,/m/04ycpq1,http://luetkemeyer.house.gov/news/rss.aspx,85,0,0.00,0,97.65,null,10,null
Ben,Ray,Luján,NM,3,D,2018,L000570,https://api.propublica.org/congress/v1/members/L000570.json,lujan.house.gov,https://lujan.house.gov,RepBenRayLujan,112962521120,RepBenRayLujan,/m/0412qzq,https://lujan.house.gov/rss/press-releases.xml,85,1,1.18,0,96.43,null,10,null
Raúl,null,Labrador,ID,1,R,2018,L000573,https://api.propublica.org/congress/v1/members/L000573.json,labrador.house.gov,https://labrador.house.gov,raul.r.labrador,180970951936493,Raul_Labrador,/m/0c3zfwm,https://labrador.house.gov/common/rss/index.cfm?rss=49,85,1,1.18,0,94.05,null,8,null
Billy,null,Long,MO,7,R,2018,L000576,https://api.propublica.org/congress/v1/members/L000576.json,long.house.gov,https://long.house.gov,Rep.Billy.Long,139631049438354,USRepLong,/m/0ds17_9,https://long.house.gov/common/rss/index.cfm?rss=49,85,0,0.00,0,97.65,null,8,null
Doug,null,LaMalfa,CA,1,R,2018,L000578,https://api.propublica.org/congress/v1/members/L000578.json,lamalfa.house.gov,http://lamalfa.house.gov,RepLaMalfa,null,RepLaMalfa,/m/0288tnx,http://lamalfa.house.gov/rss.xml,85,3,3.53,0,96.34,null,6,null
Alan,null,Lowenthal,CA,47,D,2018,L000579,https://api.propublica.org/congress/v1/members/L000579.json,lowenthal.house.gov,http://lowenthal.house.gov,RepLowenthal,392631677490897,RepLowenthal,/m/027jz0m,http://lowenthal.house.gov/news/rss.aspx,85,0,0.00,0,94.12,null,6,null
Michelle,null,Lujan Grisham,NM,1,D,2018,L000580,https://api.propublica.org/congress/v1/members/L000580.json,lujangrisham.house.gov,https://lujangrisham.house.gov,RepLujanGrisham,191640657646128,RepLujanGrisham,/m/0n3vkrv,null,85,0,0.00,0,96.47,null,6,null
Brenda,null,Lawrence,MI,14,D,2018,L000581,https://api.propublica.org/congress/v1/members/L000581.json,null,https://lawrence.house.gov,395759603917487,395759603917487,RepLawrence,/m/02w_vhg,https://lawrence.house.gov/rss.xml,85,3,3.53,0,96.34,null,4,null
Ted,null,Lieu,CA,33,D,2018,L000582,https://api.propublica.org/congress/v1/members/L000582.json,null,https://lieu.house.gov,RepTedLieu,null,RepTedLieu,/m/0f3y2w,https://lieu.house.gov/rss.xml,85,2,2.35,0,96.39,null,4,null
Barry,null,Loudermilk,GA,11,R,2018,L000583,https://api.propublica.org/congress/v1/members/L000583.json,loudermilk.house.gov,http://loudermilk.house.gov,reploudermilk,null,RepLoudermilk,/m/0wqdmcm,null,85,0,0.00,0,97.65,null,4,null
Mia,null,Love,UT,4,R,2018,L000584,https://api.propublica.org/congress/v1/members/L000584.json,null,https://love.house.gov,repmialove,null,repmialove,/m/09v75sn,https://love.house.gov/rss/press-releases.xml,85,0,0.00,0,97.65,null,4,null
Darin,M.,LaHood,IL,18,R,2018,L000585,https://api.propublica.org/congress/v1/members/L000585.json,null,https://lahood.house.gov,replahood,1499570210366431,RepLaHood,/m/0gg7rcy,https://lahood.house.gov/rss.xml,85,0,0.00,0,96.47,null,2,null
Al,null,Lawson,FL,5,D,2018,L000586,https://api.propublica.org/congress/v1/members/L000586.json,lawson.house.gov,https://lawson.house.gov,RepAlLawsonJr,null,RepAlLawsonJr,/m/03cg0sv,null,85,2,2.35,0,95.18,null,2,null
Jason,null,Lewis,MN,2,R,2018,L000587,https://api.propublica.org/congress/v1/members/L000587.json,jasonlewis.house.gov,https://jasonlewis.house.gov,RepJasonLewis,null,RepJasonLewis,null,null,85,0,0.00,0,97.65,null,2,null
Carolyn,B.,Maloney,NY,12,D,2018,M000087,https://api.propublica.org/congress/v1/members/M000087.json,maloney.house.gov,http://maloney.house.gov,RepCarolynMaloney,397176447066236,RepMaloney,/m/03txd5,http://maloney.house.gov/rss.xml,85,1,1.18,0,96.43,null,26,null
Jim,null,McGovern,MA,2,D,2018,M000312,https://api.propublica.org/congress/v1/members/M000312.json,mcgovern.house.gov,http://mcgovern.house.gov,RepJimMcGovern,148299805224565,RepMcGovern,/m/028vn7,http://mcgovern.house.gov/rss.xml,85,0,0.00,0,94.12,null,22,null
Gregory,W.,Meeks,NY,5,D,2018,M001137,https://api.propublica.org/congress/v1/members/M001137.json,meeks.house.gov,http://meeks.house.gov,gregorymeeksny05,1557025818,GregoryMeeks,/m/024_3b,http://meeks.house.gov/rss.xml,85,8,9.41,0,94.81,null,22,null
Betty,null,McCollum,MN,4,D,2018,M001143,https://api.propublica.org/congress/v1/members/M001143.json,mccollum.house.gov,http://mccollum.house.gov,repbettymccollum,153386471383393,BettyMcCollum04,/m/0249hy,http://mccollum.house.gov/rss.xml,85,1,1.18,0,95.24,null,18,null
Tim,null,Murphy,PA,18,R,2018,M001151,https://api.propublica.org/congress/v1/members/M001151.json,murphy.house.gov,https://murphy.house.gov,reptimmurphy,105769762798552,RepTimMurphy,/m/0517t7,https://murphy.house.gov/rss/latest-news.xml,85,1,1.18,0,97.62,null,16,null
Patrick,T.,McHenry,NC,10,R,2018,M001156,https://api.propublica.org/congress/v1/members/M001156.json,mchenry.house.gov,http://mchenry.house.gov,CongressmanMcHenry,8045519803,PatrickMcHenry,/m/02b4rz,http://mchenry.house.gov/news/rss.aspx,85,0,0.00,0,97.65,null,14,null
Michael,null,McCaul,TX,10,R,2018,M001157,https://api.propublica.org/congress/v1/members/M001157.json,mccaul.house.gov,http://mccaul.house.gov,michaeltmccaul,6355254859,RepMcCaul,/m/0492cz,null,85,1,1.18,0,96.43,null,14,null
