first_name,middle_name,last_name,state,district,party,next_election,id,api_uri,domain,url,facebook_account,facebook_id,twitter_account,google_entity_id,rss_url,total_votes,missed_votes,missed_votes_pct,total_present,votes_with_party_pct,dw_nominate,seniority,ideal_point
Jeff,null,Sessions,AL,null,R,2020,S001141,https://api.propublica.org/congress/v1/members/S001141.json,sessions.senate.gov,http://www.sessions.senate.gov/public,jeffsessions,23444159584,SenatorSessions,/m/020yjg,null,60,39,65.00,2,90.48,null,21,null
Jeanne,null,Shaheen,NH,null,D,2020,S001181,https://api.propublica.org/congress/v1/members/S001181.json,www.shaheen.senate.gov,https://www.shaheen.senate.gov,SenatorShaheen,127503767282103,SenatorShaheen,/m/01rrm2,null,64,0,0.00,0,95.31,null,9,null
Tim,null,Scott,SC,null,R,2022,S001184,https://api.propublica.org/congress/v1/members/S001184.json,scott.senate.gov,https://www.scott.senate.gov,SenatorTimScott,163207553711385,SenatorTimScott,/m/0c407g6,https://www.scott.senate.gov/rss.xml,64,0,0.00,0,95.31,null,5,null
Brian,null,Schatz,HI,null,D,2022,S001194,https://api.propublica.org/congress/v1/members/S001194.json,null,http://www.schatz.senate.gov,SenBrianSchatz,357806137657533,SenBrianSchatz,/m/0dd109,http://www.schatz.senate.gov/rss/feeds/?press,64,0,0.00,0,95.31,null,5,null
Ben,null,Sasse,NE,null,R,2020,S001197,https://api.propublica.org/congress/v1/members/S001197.json,www.sasse.senate.gov,http://www.sasse.senate.gov/public,SenatorSasse,null,SenSasse,/m/0j5wk_6,http://www.sasse.senate.gov/public/?a=rss.feed,64,1,1.56,0,93.65,null,3,null
Dan,null,Sullivan,AK,null,R,2020,S001198,https://api.propublica.org/congress/v1/members/S001198.json,null,http://www.sullivan.senate.gov,SenDanSullivan,null,SenDanSullivan,/m/07s4r4q,null,64,0,0.00,0,96.88,null,3,null
Luther,null,Strange,AL,null,R,2020,S001202,https://api.propublica.org/congress/v1/members/S001202.json,null,null,null,null,null,null,null,4,0,0.00,0,50.00,null,1,null
John,null,Thune,SD,null,R,2022,T000250,https://api.propublica.org/congress/v1/members/T000250.json,null,https://www.thune.senate.gov,null,null,SenJohnThune,/m/03ybyn,http://www.thune.senate.gov/public/?a=RSS.Feed,64,0,0.00,0,95.31,null,13,null
Patrick,J.,Toomey,PA,null,R,2022,T000461,https://api.propublica.org/congress/v1/members/T000461.json,null,http://www.toomey.senate.gov,senatortoomey,189274047751251,SenToomey,/m/02_kk7,http://www.toomey.senate.gov/rss/,64,1,1.56,0,93.65,null,7,null
Jon,null,Tester,MT,null,D,2018,T000464,https://api.propublica.org/congress/v1/members/T000464.json,www.tester.senate.gov,http://www.tester.senate.gov,senatortester,210573031664,SenatorTester,/m/066cdp,http://www.tester.senate.gov/rss/,64,0,0.00,0,93.75,null,11,null
Thom,null,Tillis,NC,null,R,2020,T000476,https://api.propublica.org/congress/v1/members/T000476.json,www.tillis.senate.gov,https://www.tillis.senate.gov/public/index.cfm/home,SenatorThomTillis,1576257352609470,senthomtillis,/m/0fq0395,null,64,5,7.81,0,96.61,null,3,null
Tom,null,Udall,NM,null,D,2020,U000039,https://api.propublica.org/congress/v1/members/U000039.json,null,http://www.tomudall.senate.gov,senatortomudall,106433512869,SenatorTomUdall,/m/033t35,http://www.tomudall.senate.gov/rss/,64,1,1.56,0,90.48,null,10,null
Chris,null,Van Hollen,MD,null,D,2022,V000128,https://api.propublica.org/congress/v1/members/V000128.json,www.vanhollen.senate.gov,https://www.vanhollen.senate.gov,chrisvanhollen,109304033877,ChrisVanHollen,/m/025kb5,null,64,0,0.00,0,93.75,null,1,null
Roger,null,Wicker,MS,null,R,2018,W000437,https://api.propublica.org/congress/v1/members/W000437.json,wicker.senate.gov,http://www.wicker.senate.gov,SenatorWicker,158401580882385,SenatorWicker,/m/025xxb,null,64,0,0.00,0,92.19,null,11,null
Ron,null,Wyden,OR,null,D,2022,W000779,https://api.propublica.org/congress/v1/members/W000779.json,www.wyden.senate.gov,https://www.wyden.senate.gov,null,null,RonWyden,/m/0178p9,null,64,0,0.00,0,92.19,null,22,null
Sheldon,null,Whitehouse,RI,null,D,2018,W000802,https://api.propublica.org/congress/v1/members/W000802.json,www.whitehouse.senate.gov,https://www.whitehouse.senate.gov,SenatorWhitehouse,194172833926853,SenWhitehouse,/m/07qw94,https://www.whitehouse.senate.gov/rss/feeds/?type=all&amp;cachebuster=1,62,0,0.00,0,98.39,null,11,null
Mark,null,Warner,VA,null,D,2020,W000805,https://api.propublica.org/congress/v1/members/W000805.json,www.warner.senate.gov/public/,http://www.warner.senate.gov,MarkRWarner,7935122852,MarkWarner,/m/024mm1,http://www.warner.senate.gov/public/?a=RSS.TaggedFeed&amp;Type=PressReleases,64,3,4.69,0,88.52,null,9,null
Elizabeth,null,Warren,MA,null,D,2018,W000817,https://api.propublica.org/congress/v1/members/W000817.json,www.warren.senate.gov,http://www.warren.senate.gov,senatorelizabethwarren,131559043673264,SenWarren,/m/01qh39,http://www.warren.senate.gov/rss/,64,0,0.00,0,90.63,null,5,null
Todd,null,Young,IN,null,R,2022,Y000064,https://api.propublica.org/congress/v1/members/Y000064.json,www.young.senate.gov,https://www.young.senate.gov,RepToddYoung,186203844738421,RepToddYoung,/m/0ds030m,null,64,0,0.00,0,96.88,null,1,null
